dropout experiment with dropout=0.5
-Iter 0, Training Loss= 4.794883, Accuracy Top1 = 0.0000, Top5 = 0.0625
-Iter 0, Validation Loss= 4.955910, Accuracy Top1 = 0.0312, Top5 = 0.0781
-Iter 50, Training Loss= 4.984690, Accuracy Top1 = 0.0000, Top5 = 0.1562
-Iter 50, Validation Loss= 5.456533, Accuracy Top1 = 0.0000, Top5 = 0.1406
-Iter 100, Training Loss= 4.766593, Accuracy Top1 = 0.0469, Top5 = 0.1406
-Iter 100, Validation Loss= 4.710790, Accuracy Top1 = 0.0625, Top5 = 0.1719
-Iter 150, Training Loss= 4.758368, Accuracy Top1 = 0.0625, Top5 = 0.1719
-Iter 150, Validation Loss= 5.466686, Accuracy Top1 = 0.0625, Top5 = 0.2031
-Iter 200, Training Loss= 4.290360, Accuracy Top1 = 0.0156, Top5 = 0.1094
-Iter 200, Validation Loss= 4.224547, Accuracy Top1 = 0.1406, Top5 = 0.2344
-Iter 250, Training Loss= 4.206714, Accuracy Top1 = 0.0781, Top5 = 0.2031
-Iter 250, Validation Loss= 3.910622, Accuracy Top1 = 0.1406, Top5 = 0.3281
-Iter 300, Training Loss= 8.555647, Accuracy Top1 = 0.0469, Top5 = 0.2188
-Iter 300, Validation Loss= 4.158735, Accuracy Top1 = 0.0781, Top5 = 0.2969
-Iter 350, Training Loss= 4.900746, Accuracy Top1 = 0.0469, Top5 = 0.2188
-Iter 350, Validation Loss= 3.981778, Accuracy Top1 = 0.0938, Top5 = 0.2656
-Iter 400, Training Loss= 3.911233, Accuracy Top1 = 0.1094, Top5 = 0.2500
-Iter 400, Validation Loss= 4.042934, Accuracy Top1 = 0.0781, Top5 = 0.2656
-Iter 450, Training Loss= 4.284286, Accuracy Top1 = 0.0625, Top5 = 0.2500
-Iter 450, Validation Loss= 5.479905, Accuracy Top1 = 0.0312, Top5 = 0.1875
-Iter 500, Training Loss= 5.653457, Accuracy Top1 = 0.1562, Top5 = 0.3906
-Iter 500, Validation Loss= 5.507801, Accuracy Top1 = 0.1094, Top5 = 0.2969
-Iter 550, Training Loss= 4.315321, Accuracy Top1 = 0.1094, Top5 = 0.3281
-Iter 550, Validation Loss= 3.681749, Accuracy Top1 = 0.1406, Top5 = 0.3750
-Iter 600, Training Loss= 3.790518, Accuracy Top1 = 0.1250, Top5 = 0.3438
-Iter 600, Validation Loss= 3.987449, Accuracy Top1 = 0.1719, Top5 = 0.3750
-Iter 650, Training Loss= 3.627161, Accuracy Top1 = 0.1562, Top5 = 0.4531
-Iter 650, Validation Loss= 5.784369, Accuracy Top1 = 0.1094, Top5 = 0.3438
-Iter 700, Training Loss= 6.219666, Accuracy Top1 = 0.0938, Top5 = 0.2500
-Iter 700, Validation Loss= 3.947484, Accuracy Top1 = 0.1250, Top5 = 0.3125
-Iter 750, Training Loss= 3.791757, Accuracy Top1 = 0.1250, Top5 = 0.2969
-Iter 750, Validation Loss= 4.154772, Accuracy Top1 = 0.2344, Top5 = 0.3281
-Iter 800, Training Loss= 4.374646, Accuracy Top1 = 0.1250, Top5 = 0.3594
-Iter 800, Validation Loss= 4.176331, Accuracy Top1 = 0.1250, Top5 = 0.3438
-Iter 850, Training Loss= 5.102109, Accuracy Top1 = 0.1094, Top5 = 0.3594
-Iter 850, Validation Loss= 3.309225, Accuracy Top1 = 0.2031, Top5 = 0.4688
-Iter 900, Training Loss= 3.610689, Accuracy Top1 = 0.1406, Top5 = 0.4219
-Iter 900, Validation Loss= 4.430054, Accuracy Top1 = 0.0781, Top5 = 0.3281
-Iter 950, Training Loss= 4.370653, Accuracy Top1 = 0.1094, Top5 = 0.3438
-Iter 950, Validation Loss= 3.467159, Accuracy Top1 = 0.2031, Top5 = 0.3906
-Iter 1000, Training Loss= 3.800547, Accuracy Top1 = 0.1094, Top5 = 0.3750
-Iter 1000, Validation Loss= 4.700722, Accuracy Top1 = 0.2344, Top5 = 0.4688
-Iter 1050, Training Loss= 3.829887, Accuracy Top1 = 0.1562, Top5 = 0.3125
-Iter 1050, Validation Loss= 4.135349, Accuracy Top1 = 0.0938, Top5 = 0.2031
-Iter 1100, Training Loss= 3.854863, Accuracy Top1 = 0.0938, Top5 = 0.3438
-Iter 1100, Validation Loss= 3.794129, Accuracy Top1 = 0.1406, Top5 = 0.3594
-Iter 1150, Training Loss= 3.286464, Accuracy Top1 = 0.1875, Top5 = 0.3906
-Iter 1150, Validation Loss= 3.663669, Accuracy Top1 = 0.0625, Top5 = 0.4531
-Iter 1200, Training Loss= 4.128173, Accuracy Top1 = 0.1562, Top5 = 0.3594
